group,value,tail10,rounds,source
UTD,2,246.11,60,redqfix_utdscan_jnreal_seed42_bundle.json
UTD,4,245.25,60,redqfix_utdscan_jnreal_seed42_bundle.json
UTD,8,245.08,60,redqfix_utdscan_jnreal_seed42_bundle.json
UTD,16,244.14,60,redqfix_utdscan_jnreal_seed42_bundle.json
UTD,32,245.33,40,redqfix_utdscan_jnreal_seed42_bundle.json
lambda,0.0,244.41,60,/home/yanghang/Advanced_XLight/records/redqfix_sens_lambda_l00_u16_jnreal_s42_jnreal_s42_n4m2u16
lambda,0.2,244.43,60,/home/yanghang/Advanced_XLight/records/redqfix_sens_lambda_l02_u16_jnreal_s42_jnreal_s42_n4m2u16
lambda,0.4,244.21,60,/home/yanghang/Advanced_XLight/records/redqfix_sens_lambda_l04_u16_jnreal_s42_jnreal_s42_n4m2u16
lambda,0.6,244.95,60,/home/yanghang/Advanced_XLight/records/redqfix_sens_lambda_l06_u16_jnreal_s42_jnreal_s42_n4m2u16
lambda,0.8,244.54,60,/home/yanghang/Advanced_XLight/records/redqfix_sens_lambda_l08_u16_jnreal_s42_jnreal_s42_n4m2u16
lambda,1.0,244.76,60,/home/yanghang/Advanced_XLight/records/redqfix_sens_lambda_l10_u16_jnreal_s42_jnreal_s42_n4m2u16
Nq,1,245.08,60,/home/yanghang/Advanced_XLight/records/redqfix_sens_n_n01_m01_u16_jnreal_s42_jnreal_s42_n1m1u16
Nq,2,245.2,60,/home/yanghang/Advanced_XLight/records/redqfix_sens_n_n02_m02_u16_jnreal_s42_jnreal_s42_n2m2u16
Nq,4,244.96,60,/home/yanghang/Advanced_XLight/records/redqfix_sens_n_n04_m02_u16_jnreal_s42_jnreal_s42_n4m2u16
Nq,6,244.78,60,/home/yanghang/Advanced_XLight/records/redqfix_sens_n_n06_m02_u16_jnreal_s42_jnreal_s42_n6m2u16
Nq,8,244.76,60,/home/yanghang/Advanced_XLight/records/redqfix_sens_n_n08_m02_u16_jnreal_s42_jnreal_s42_n8m2u16
M,1,245.51,60,/home/yanghang/Advanced_XLight/records/redqfix_sens_m_m01_u16_jnreal_s42_jnreal_s42_n4m1u16
M,2,245.0,60,/home/yanghang/Advanced_XLight/records/redqfix_sens_m_m02_u16_jnreal_s42_jnreal_s42_n4m2u16
M,3,244.81,60,/home/yanghang/Advanced_XLight/records/redqfix_sens_m_m03_u16_jnreal_s42_jnreal_s42_n4m3u16
M,4,244.42,60,/home/yanghang/Advanced_XLight/records/redqfix_sens_m_m04_u16_jnreal_s42_jnreal_s42_n4m4u16
